primerid	Pr(>Chisq)	coef	FDR	gene_name	signif	diff_exp	prop_exp_X	prop_exp_Y	prop_exp_raw_X	prop_exp_raw_Y
UPF3B	1.0112454151500515e-193	1.3825827715031074	2.660788936342816e-189	UPF3B	UPF3B	X	1.6058075787200592	-0.14411438945688002	0.37714285714285717	0.05161290322580645
PPP1R2C	7.204535952484885e-129	1.2819581485236444	9.478287499089116e-125	PPP1R2C	PPP1R2C	X	3.007225316671519	0.13165975829778126	0.3522727272727273	0.05806451612903226
FAM230C	1.767933496164094e-110	-1.5505516027456892	1.5505955383689876e-106	FAM230C	FAM230C	Y	0.49125884601829756	3.901788718705919	0.17613636363636365	0.551948051948052
amplicon-chrY-HSFY1/2	8.518387239318898e-107	-0.8408984365412021	5.603395126023971e-103	mc/ampl_HSFY1/2	mc/ampl_HSFY1/2	Y	0.27599101787657315	2.0212636266942274	0.022857142857142857	0.16774193548387098
LINC00278	1.0753594559373634e-105	-0.6291484058456003	5.658971600924781e-102	LINC00278	LINC00278	Y	-0.13380792020976162	1.4553658196336725	0.005714285714285714	0.09032258064516129
TTTY2	7.492789059365613e-95	-0.668720147956286	3.2858377621671327e-91	TTTY2	TTTY2	Y	-0.09521150327635061	1.5547667322586427	0.0	0.03870967741935484
DIAPH2	1.270945549477486e-80	1.2893348087540952	4.777302756835944e-77	DIAPH2	DIAPH2	X	0.36730773015112733	-0.45351554666631877	0.23295454545454544	0.03896103896103896
SCML1	6.146003163726399e-79	1.011063636396676	2.0214204405496126e-75	SCML1	SCML1	X	0.7438751074164294	-0.34251540160383076	0.1590909090909091	0.012987012987012988
LOC105377227	7.506653548740343e-78	-0.9075162070783056	2.194611868605066e-74	LOC105377227	LOC105377227	Y	0.05606708080981866	1.2762320771085405	0.005681818181818182	0.05844155844155844
amplicon-chrY-CDY1/1B/2A/2B	1.049046115099876e-77	-1.1303187444649805	2.760250138050793e-74	mc/ampl_CDY1/1B/2A/2B	mc/ampl_CDY1/1B/2A/2B	Y	-0.02258348610743344	2.430483429539903	0.005714285714285714	0.07142857142857142
SYTL5	9.226253449563059e-77	0.535060145050949	2.206919825135484e-73	SYTL5	SYTL5	X	1.234835367709058	0.04795642314994245	0.1657142857142857	0.03225806451612903
